username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-12-31 21:34;2;88;"What history have you made? Slow your roll, CoinDesk.";"neutral"
;2018-12-31 21:32;5;49;"The Orville has a better intro sequence than most of the Star Trek series.pic.twitter.com/xNvPUbqmsd";"positive"
;2018-12-31 21:28;1;9;"But is he a whole ass?";"negative"
;2018-12-31 18:46;0;14;"Because logicpic.twitter.com/YktXBHAmgr";"neutral"
;2018-12-31 18:27;1;31;"As a matter of interest did you include monero-project/monero + monero-project/monero-gui ?";"neutral"
;2018-12-31 17:55;13;184;"# ThingsRIPtardsSayhttps://twitter.com/The_Rippening/status/1079454493299916801 …";"neutral"
;2018-12-31 17:55;0;2;"pic.twitter.com/BLKUDW4HrO";"neutral"
;2018-12-31 15:24;1;93;"U r very smart";"positive"
;2018-12-31 15:23;0;0;"I’m not convinced Steemit is able to be robust if a government like China attacks it.";"negative"
;2018-12-31 15:22;0;1;"Good question - you’d have to go through an exchange which means you’re already KYC’d, but you’re saved the hassle and fees (and risk) of withdrawing to your bank account.";"neutral"
;2018-12-31 12:23;0;4;"Between The Mighty Boosh and The Mighty Ducks it seems we have lots of talent in crypto";"positive"
;2018-12-31 12:19;0;0;"pic.twitter.com/PqHSV1kuoh";"neutral"
;2018-12-31 12:18;0;1;"Was about to link to that";"neutral"
;2018-12-31 12:10;0;22;"You paid him to say that, classic Blockstream tactic!";"negative"
;2018-12-31 07:56;0;7;"Update? Also, y u no htop";"neutral"
;2018-12-31 07:51;0;0;"Yes, and if it happened once or even twice we would rule that accidental. But the eleventh or twelfth time surely it is no longer coincidence and simultaneous discovery, but rampant plagiarism and malice?";"negative"
;2018-12-31 07:14;0;6;"(Personally I don’t know how stable a stablecoin can be on a macro time scale, especially during a price run, but I’m suggesting that maybe there’s some utility)";"neutral"
;2018-12-31 07:12;0;4;"I think there might be some redemption (not in the legal sense) in stablecoins providing a refuge against price volatility. You move into the stablecoin, and when prices have settled you can move back out, all without needing to withdraw to a bank account.";"positive"
;2018-12-31 06:53;0;24;"I’ve never even heard of you";"neutral"
;2018-12-30 21:20;1;24;"This is the best";"positive"
;2018-12-30 21:00;0;4;"Reeeeekt";"positive"
;2018-12-30 15:43;0;1;"Deleted Tweet?";"negative"
;2018-12-30 13:53;0;1;"The issue is that valuables *should* be in your hand luggage so nobody steals them, or we have to have complete automation from luggage loading to unloading.";"neutral"
;2018-12-30 11:53;0;2;"Thank you";"positive"
;2018-12-29 21:46;1;2;"Here. Nothing about “defi” or any other hype term.pic.twitter.com/3uRFs42Z0Z";"neutral"
;2018-12-29 21:42;0;3;"If you swap CoinBase and Binance in that Tweet it sounds just as correct";"neutral"
;2018-12-29 17:47;0;31;"Honestly, I sincerely enjoy your Tweets";"positive"
;2018-12-29 16:43;0;3;"Well we can’t “get rid of the banks” and replace them with Ripple, so we have to purge ourselves first.";"positive"
;2018-12-29 12:51;0;0;"Tokens issued on Tari are done so by a centralised asset issuer, so “Dapps” are impossible.";"negative"
;2018-12-29 12:50;0;9;"It’s my pleasure!";"positive"
;2018-12-29 12:49;0;0;"It sounds like digital asset rules to me, that’s not even remotely the same thing. “Complex rules” are not Turing complete.";"neutral"
;2018-12-29 12:38;0;0;"Tari has smart contracts...?";"neutral"
;2018-12-29 12:35;0;10;"Blockchain is war.";"positive"
;2018-12-29 12:34;0;0;"Monero’s building smart contracts...?";"neutral"
;2018-12-29 11:55;0;3;"Please stop using drugs. You’re embarrassing yourself and your family.";"negative"
;2018-12-29 11:16;0;20;"# XRPtheStandard";"neutral"
;2018-12-29 11:13;0;19;"pic.twitter.com/4CetvF0uIg";"neutral"
;2018-12-29 11:11;1;14;"But it fails on the first part of that. Second part, too, given that the economic system is unsound.";"positive"
;2018-12-31 16:14;1;2;"There's the actual software project but it's open source and plenty of the devs aren't even in the US, so I don't see how that would work.";"neutral"
;2018-12-31 14:58;1;8;"BTCPayServer is a full stack solution that can be easily installed on your own machine. We run our own instance for the @ CasaHODL store, for example. There's no centralized aspect to it - each instance is fully standalone.";"neutral"
;2018-12-31 14:54;2;22;"OP_RETURN is a method of embedding data in the blockchain, which enables you to use Bitcoin as a data anchor. For a very long explanation, check outhttps://www.coindesk.com/bitcoin-the-trust-anchor-in-a-sea-of-blockchains …";"positive"
;2018-12-31 14:42;26;83;"53% of Bitcoin OP_RETURN outputs were used with the @ Omni_Layer protocol in 2018. In recent months we've seen a large increase in output volume with data payloads no one seems to recognize.pic.twitter.com/ej9L5W2yQj";"negative"
;2018-12-31 01:01;2;35;"Looks like I get to re-use this tweet, except seriously.https://twitter.com/lopp/statuses/1074015033443651585 …";"neutral"
;2018-12-31 00:27;0;2;"Core has some meetings on IRC and transcripts are here https://bitcoincore.org/en/meetings/ Not sure about other implementations. Most chatter happens on IRC or the mailing list.";"neutral"
;2018-12-30 23:16;19;52;"Final Round! Facebook's digital currency should be colloquially called:";"positive"
;2018-12-30 21:53;28;163;"Bitcoin Wishlist for 2019: Fungibility SegWit on @ blockchain Anything from my 2016 list:https://twitter.com/lopp/statuses/728007294810763264 …";"neutral"
;2018-12-30 20:36;10;63;". @ TheBlueMatt's Bitcoin Relay Network (2016) vs his FIBRE Network (2018) Old: many blocks required > 100KB to transmit, > 200ms to relay New: Almost all blocks require < 100KB to transmit, < 200ms to relay Block size is no longer strongly correlated w/relay times or data on wire.pic.twitter.com/NWt6Wn5IYn";"positive"
;2018-12-30 19:36;0;2;"Right - segwit, batching, lightning. It's not really up to the user to make decisions about these things - it's up to companies and developers to guide users to the best practices. If they don't, the economics will force them.";"neutral"
;2018-12-30 19:34;0;0;"Here's what I see when I zoom in... I may have found a bug in your UI, @ coindesk @ pete_rizzo_pic.twitter.com/5VNSNsTFzP";"neutral"
;2018-12-30 19:30;370;1224;"Bitcoin average DAILY value change during: 2010: +0.82% 2011: +0.76% 2012: +0.26% 2013: +1.11% 2014: -0.25% 2015: +0.09% 2016: +0.22% 2017: +0.78% 2018: -0.33%";"neutral"
;2018-12-30 19:29;8;95;"I deleted this tweet because the 2017 metric was calculated from incorrect exchange rate data. Corrected tweet coming up...pic.twitter.com/YpjjxmveBq";"neutral"
;2018-12-30 19:20;0;1;"Once demand exceeds block space, competition heats up and raising fees incentivize users to make more efficient use of block space.";"positive"
;2018-12-30 19:04;0;4;"Hmmmmm then @ coindesk's BPI is very wrong...https://www.coindesk.com/price/bitcoin";"negative"
;2018-12-30 18:54;0;19;"So... we offered a Proof of Reserves feature at @ BitGo for a while but it never got much traction. I think a major reason for that is that without a Proof of Liabilities it doesn't result in Proof of Solvency.";"neutral"
;2018-12-30 18:11;0;4;"Hmmmm how are our 2017 numbers so different? I used a starting value of $3650 and ending value of $13800. 3650*(1.00365^365) = 13800";"neutral"
;2018-12-30 15:55;1;3;"Sure, check out the first chart on http://bitcoinfibre.org/stats.html and read the "speed of light" description.";"neutral"
;2018-12-30 15:36;22;87;"Comparing @ TheBlueMatt's Bitcoin Relay Network (2016) vs his FIBRE Network (2018) On the old network, 90% of blocks traversed it in under 570ms On the new network, 90% of blocks traversed it in under 141ms (purple line is T5)pic.twitter.com/0IoRPk52Zv";"neutral"
;2018-12-30 05:19;0;5;"So you're saying the growth potential is over 100X!";"positive"
;2018-12-30 00:09;1;1;"This one? I don't think it's this one because their protocol uses a BCP prefix and uses 35 bytes whereas this usage is nearly 80 bytes. https://equitybits.s3.amazonaws.com/white_paper.pdf";"negative"
;2018-12-29 23:23;14;56;"Can anyone tell me what OP_RETURN based protocol is creating outputs like this? They have become the highest volume of OP_RETURN outputs recently...https://blockstream.info/tx/92d96ca8008562ceb41db4cad36d65f7106b480770943f007cc9429239ccf68d#expand …";"neutral"
;2018-12-29 20:25;440;1084;"The number of Bitcoin ATMs doubled to 4,000 in 2018, continuing a 3 year trend of 100% year over year growth.pic.twitter.com/mfYDxxkT1l";"positive"
;2018-12-29 15:51;0;9;"Will there be lambos and scantily clad booth babes?";"neutral"